aalib 1.4rc5-14
acl 2.3.1-1
acorn 1:8.5.0-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 40.1.1-1
alacritty 0.9.0-1
alsa-card-profiles 1:0.3.37-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amdgpu-pro-libgl 21.30_1290604-1
antlr4-runtime 4.9.2-2
aom 3.1.2-2
appstream-glib 0.7.18-2
archlinux-keyring 20210902-1
argon2 20190702-3
aria2 1.36.0-1
asciidoc 9.1.1-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audit 3.0.5-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+22+gfd482a7-1
awesome 4.3-3
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bash-language-server 2.0.0-2
bat 0.18.3-1
bc 1.07.1-4
binutils 2.36.1-3
bison 3.8.1-1
bluez-libs 5.61-1
boost-libs 1.76.0-1
botan 2.18.1-1
box2d 2.4.1-1
brave-bin 1:1.29.81-1
brotli 1.0.9-4
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.17.2-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.70-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
ccache 4.4.1-1
celt 0.11.3-4
ceph-libs 15.2.14-1
chaotic-keyring 20210617-1
chaotic-mirrorlist 20210716-1
chromaprint 1.5.0-3
cifs-utils 6.13-3
clinfo 3.0.21.02.21-1
clucene 2.3.3.4-11
cmake 3.21.3-1
cmatrix 2.0-2
command-not-found 0.6.2-2
coreutils 8.32-1
cpio 2.13-2
cpu-x 4.2.0-1
cpuid 20201006-1
cryptsetup 2.4.1-1
curl 7.79.1-1
dash 0.5.11.4-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.13-1
diffutils 3.8-1
discord 0.0.16-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
doxygen 1.9.2-1
e2fsprogs 1.46.4-1
efibootmgr 17-2
efivar 37-4
electron 14.0.1-3
elfutils 0.185-1
enchant 2.3.1-1
exa 0.10.1-3
expat 2.4.1-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.26-1
faudio 21.09-1
fd 8.2.1-1
ffmpeg 2:4.4-4
fftw 3.3.10-1
file 5.40-6
filesystem 2021.05.31-1
findutils 4.8.0-1
firefox 92.0-2
firefox-nightly 94.0a1.20210922215301+he7f3e1f5b625-1
flac 1.3.3-3
flatpak 1.11.3-1
flex 2.6.4-3
fluidsynth 2.2.3-1
fmt 8.0.1-1
fontconfig 2:2.13.94-1
fontforge 20201107-1
freeglut 3.2.1-2
freetype2 2.11.0-4
fribidi 1.0.10-1
fuse-common 3.10.5-1
fuse2 2.9.9-4
gamemode 1.6.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcr 3.40.0-1
gd 2.3.3-1
gdbm 1.21-1
gdk-pixbuf2 2.42.6-2
geoclue 2.5.7-4
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.54.0-3
giflib 5.2.1-2
git 2.33.0-1
glew 2.2.0-2
glfw-x11 3.3.4-1
glib-networking 1:2.70.0-1
glib2 2.70.0-1
glibc 2.33-5
glibmm 2.66.1-2
glslang 11.6.0-1
glu 9.0.2-1
